Date,Open,High,Low,Close,Adj Close,Volume
2015-09-02,144.740005,145.080002,143.179993,145.050003,124.825676,4252000
2015-09-03,146.050003,148.029999,145.770004,146.779999,126.314438,3603500
2015-09-04,144.570007,145.399994,143.320007,143.699997,123.663864,4201100
2015-09-08,145.860001,147.339996,145.660004,147.229996,126.701691,3933300
2015-09-09,148.740005,149.039993,144.850006,145.050003,124.825676,3380000
2015-09-10,145.850006,147.160004,144.509995,146.199997,125.815292,3461700
2015-09-11,145.910004,147.500000,145.669998,147.369995,126.822182,3115100
2015-09-14,147.369995,147.369995,145.410004,145.649994,125.341988,3226700
2015-09-15,146.600006,147.929993,145.759995,147.529999,126.959854,2709500
2015-09-16,147.839996,148.889999,147.539993,148.410004,127.717171,2799200
2015-09-17,148.100006,149.679993,147.300003,148.139999,127.484818,4003000
2015-09-18,146.050003,146.389999,143.979996,144.509995,124.360954,7776500
2015-09-21,145.389999,146.979996,144.919998,146.479996,126.056290,3825000
2015-09-22,144.619995,145.059998,143.770004,144.429993,124.292084,3564100
2015-09-23,144.210007,144.570007,142.750000,143.660004,123.629440,2674200
2015-09-24,142.600006,145.070007,141.949997,144.410004,124.274902,3280300
2015-09-25,145.550003,146.270004,144.529999,145.419998,125.144051,3474400
2015-09-28,144.419998,145.380005,142.470001,142.520004,122.648399,4317300
2015-09-29,141.990005,142.660004,141.149994,142.470001,122.605400,4763500
2015-09-30,143.690002,145.710007,143.660004,144.970001,124.756805,3923900
2015-10-01,145.309998,145.669998,141.589996,143.589996,123.569252,3880900
2015-10-02,141.050003,144.589996,140.559998,144.580002,124.421204,3054400
2015-10-05,145.820007,149.889999,145.820007,149.039993,128.259308,5131800
2015-10-06,149.059998,150.149994,148.490005,148.779999,128.035568,3018100
2015-10-07,150.039993,150.729996,148.860001,150.089996,129.162903,2980800
2015-10-08,149.690002,153.020004,149.289993,152.279999,131.047577,4794400
2015-10-09,152.460007,153.149994,151.270004,152.389999,131.142242,3531100
2015-10-12,152.399994,152.580002,150.850006,151.139999,130.066513,3227600
2015-10-13,150.779999,150.779999,149.179993,149.619995,128.758453,3915700
2015-10-14,149.600006,150.649994,149.020004,150.009995,129.094070,3353000
2015-10-15,150.910004,151.240005,148.580002,150.089996,129.162903,3476200
2015-10-16,150.449997,151.199997,149.259995,150.389999,129.421082,3483700
2015-10-19,149.850006,149.970001,148.380005,149.220001,128.414215,7954700
2015-10-20,142.490005,142.880005,140.270004,140.639999,121.030556,15928800
2015-10-21,140.250000,142.660004,139.300003,140.919998,121.271477,6990600
2015-10-22,141.740005,145.070007,141.619995,144.089996,123.999504,5583200
2015-10-23,144.610001,145.490005,143.699997,144.679993,124.507233,5370400
2015-10-26,144.750000,145.000000,143.210007,143.660004,123.629440,3489400
2015-10-27,143.509995,143.830002,137.330002,137.860001,118.638168,15008500
2015-10-28,137.919998,141.229996,137.500000,140.830002,121.194038,8511400
2015-10-29,140.360001,140.820007,139.020004,140.550003,120.953094,3702500
2015-10-30,140.440002,141.330002,139.899994,140.080002,120.548607,3984000
2015-11-02,140.500000,140.520004,139.570007,140.369995,120.798172,3822200
2015-11-03,140.020004,142.800003,139.899994,141.880005,122.097641,4349400
2015-11-04,142.550003,142.649994,141.300003,141.630005,121.882507,3507600
2015-11-05,141.610001,142.380005,139.630005,139.889999,120.385094,5096900
2015-11-06,138.600006,139.550003,137.869995,138.250000,120.089767,4744900
2015-11-09,137.919998,138.080002,134.880005,135.309998,117.535957,8075600
2015-11-10,135.360001,135.740005,134.119995,135.470001,117.674957,4520800
2015-11-11,136.089996,136.199997,134.500000,135.020004,117.284065,3164800
2015-11-12,134.699997,134.699997,133.009995,133.039993,115.564148,4701400
2015-11-13,132.949997,133.000000,131.649994,131.750000,114.443604,4613800
2015-11-16,131.789993,134.089996,131.789993,133.710007,116.146141,4190800
2015-11-17,134.220001,134.820007,133.309998,133.820007,116.241707,2815100
2015-11-18,134.789993,135.910004,134.259995,135.820007,117.978966,4149200
2015-11-19,136.210007,137.740005,136.009995,136.740005,118.778122,4753600
2015-11-20,137.369995,138.919998,137.250000,138.500000,120.306915,5176400
2015-11-23,138.529999,138.869995,137.119995,138.460007,120.272202,5137900
2015-11-24,137.649994,139.339996,137.309998,138.600006,120.393814,3407700
2015-11-25,138.369995,138.429993,137.380005,138.000000,119.872612,3238200
2015-11-27,138.000000,138.809998,137.210007,138.460007,120.272202,1415800
2015-11-30,138.610001,139.899994,138.520004,139.419998,121.106094,4545600
2015-12-01,139.580002,141.399994,139.580002,141.279999,122.721771,4195100
2015-12-02,140.929993,141.210007,139.500000,139.699997,121.349304,3725400
2015-12-03,140.100006,140.729996,138.190002,138.919998,120.671753,5909600
2015-12-04,138.089996,141.020004,137.990005,140.429993,121.983391,4571600
2015-12-07,140.160004,140.410004,138.809998,139.550003,121.219009,3279400
2015-12-08,138.279999,139.059998,137.529999,138.050003,119.916077,3905200
2015-12-09,137.380005,139.839996,136.229996,136.610001,118.665222,4615000
2015-12-10,137.029999,137.850006,135.720001,136.779999,118.812874,4754800
2015-12-11,135.229996,135.440002,133.910004,134.570007,116.893188,5333800
2015-12-14,135.309998,136.139999,134.020004,135.929993,118.074532,5103800
2015-12-15,137.399994,138.970001,137.279999,137.789993,119.690178,4238500
2015-12-16,139.119995,139.649994,137.789993,139.289993,120.993164,4345500
2015-12-17,139.350006,139.500000,136.309998,136.750000,118.786812,4089500
2015-12-18,136.410004,136.960007,134.270004,134.899994,117.179817,10026100
2015-12-21,135.830002,135.830002,134.020004,135.500000,117.701019,5617500
2015-12-22,135.880005,138.190002,135.649994,137.929993,119.811806,4081000
2015-12-23,138.300003,139.309998,138.110001,138.539993,120.341675,5164900
2015-12-24,138.429993,138.880005,138.110001,138.250000,120.089767,1495200
2015-12-28,137.740005,138.039993,136.539993,137.610001,119.533829,3106900
2015-12-29,138.250000,140.059998,138.199997,139.779999,121.418816,3943700
2015-12-30,139.580002,140.440002,139.220001,139.339996,121.036606,2989400
2015-12-31,139.070007,139.100006,137.570007,137.619995,119.542542,3462100
2016-01-04,135.600006,135.970001,134.240005,135.949997,118.091896,5229400
2016-01-05,136.759995,136.889999,134.850006,135.850006,118.005043,3924800
2016-01-06,134.380005,135.580002,133.619995,135.169998,117.414375,4310900
2016-01-07,133.699997,135.020004,132.429993,132.860001,115.407806,7025800
2016-01-08,133.179993,133.820007,131.320007,131.630005,114.339363,4762700
2016-01-11,131.809998,133.820007,131.759995,133.229996,115.729187,4967000
2016-01-12,133.649994,133.779999,131.130005,132.899994,115.442528,5078700
2016-01-13,133.500000,134.279999,131.100006,131.169998,113.939796,4700100
2016-01-14,131.929993,133.789993,131.220001,132.910004,115.451233,5709600
2016-01-15,130.009995,130.880005,128.869995,130.029999,112.949524,9008500
2016-01-19,130.110001,132.100006,128.059998,128.110001,111.281738,9979600
2016-01-20,118.459999,123.989998,118.000000,121.860001,105.852745,16157800
2016-01-21,121.300003,125.099998,120.580002,122.910004,106.764809,8851600
2016-01-22,124.669998,124.739998,121.769997,122.500000,106.408669,9238400
2016-01-25,122.099998,124.230003,121.639999,122.080002,106.043831,5446000
2016-01-26,122.250000,123.610001,122.239998,122.589996,106.486832,4613700
2016-01-27,122.730003,123.370003,120.650002,120.959999,105.070953,5026400
2016-01-28,121.260002,122.830002,121.010002,122.220001,106.165436,3942500
2016-01-29,123.279999,124.790001,122.959999,124.790001,108.397858,8248100
2016-02-01,124.400002,125.290001,123.709999,124.830002,108.432602,3574900
2016-02-02,123.669998,124.139999,122.639999,122.940002,106.790878,3287300
2016-02-03,123.989998,125.449997,122.290001,124.720001,108.337067,6223500
2016-02-04,125.080002,128.500000,125.000000,127.650002,110.882172,5195800
2016-02-05,127.220001,128.639999,125.849998,128.570007,111.681328,7177700
2016-02-08,126.000000,127.510002,124.129997,126.980003,111.426842,7364000
2016-02-09,126.120003,126.930000,123.769997,124.070000,108.873260,5922600
2016-02-10,125.000000,125.290001,119.839996,120.190002,105.468521,6469100
2016-02-11,118.779999,119.660004,116.900002,117.849998,103.415123,7307600
2016-02-12,119.260002,121.050003,118.349998,121.040001,106.214409,4936500
2016-02-16,121.830002,123.089996,121.339996,122.739998,107.706169,4061400
2016-02-17,123.709999,126.570000,123.250000,126.099998,110.654625,4821000
2016-02-18,130.000000,134.000000,129.750000,132.449997,116.226852,9951600
2016-02-19,132.360001,133.649994,130.839996,133.080002,116.779686,5125300
2016-02-22,133.080002,134.309998,132.410004,133.770004,117.385170,4457400
2016-02-23,133.139999,133.410004,132.009995,132.399994,116.182968,3439700
2016-02-24,131.550003,133.490005,129.679993,132.800003,116.533981,4122600
2016-02-25,133.289993,134.509995,130.880005,134.500000,118.025764,4353600
2016-02-26,134.509995,134.919998,131.949997,132.029999,115.858292,4386200
2016-02-29,132.000000,133.360001,130.899994,131.029999,114.980774,4428000
2016-03-01,132.240005,134.639999,132.029999,134.369995,117.911674,3788500
2016-03-02,133.699997,137.440002,133.220001,136.300003,119.605270,5217200
2016-03-03,137.220001,137.960007,136.070007,137.800003,120.921524,5141200
2016-03-04,137.539993,139.419998,137.020004,137.800003,120.921524,3968400
2016-03-07,137.279999,140.509995,136.869995,140.149994,122.983711,5171000
2016-03-08,139.710007,140.350006,137.419998,139.070007,122.035980,5579100
2016-03-09,139.309998,142.169998,139.229996,140.410004,123.211861,4406500
2016-03-10,141.240005,141.470001,138.089996,140.190002,123.018822,4009600
2016-03-11,141.729996,142.919998,140.509995,142.360001,124.923019,4421900
2016-03-14,142.009995,143.190002,141.039993,142.779999,125.291550,4048800
2016-03-15,141.740005,143.330002,141.539993,142.960007,125.449516,3707500
2016-03-16,142.619995,144.880005,142.110001,144.789993,127.055389,4221900
2016-03-17,144.779999,147.320007,144.449997,147.039993,129.029785,5821600
2016-03-18,147.399994,147.509995,145.509995,147.089996,129.073654,12089700
2016-03-21,147.300003,148.710007,146.720001,148.630005,130.425049,3721600
2016-03-22,148.059998,149.279999,147.839996,148.100006,129.959961,4081900
2016-03-23,148.000000,148.029999,145.130005,145.399994,127.590660,4764200
2016-03-24,144.979996,148.220001,144.490005,147.949997,129.828323,5044500
2016-03-28,147.750000,148.649994,147.229996,148.399994,130.223206,3265100
2016-03-29,147.589996,149.759995,147.500000,149.330002,131.039291,3116400
2016-03-30,149.949997,150.410004,148.320007,148.410004,130.231995,3331200
2016-03-31,149.789993,153.100006,149.360001,151.449997,132.899643,6780600
